token,0,1,sub
darwin,3,4,1
==,1718,1070,-648
yes,98,44,-54
$,506,286,-220
compiler,33,17,-16
.,2000,1118,-882
build,32,18,-14
cc,82,20,-62
compile_prog,40,24,-16
check,413,219,-194
case,652,335,-317
broken,18,19,1
cc\,4,1,-3
either,137,89,-48
autodetect,2,1,-1
valid,152,75,-77
without,185,127,-58
executable,4,4,0
testing,37,30,-7
works,42,15,-27
work,159,85,-74
allows,40,21,-19
right,53,42,-11
's,295,163,-132
fi,145,65,-80
message,42,31,-11
printed,2,3,1
write_c_skeleton,1,1,0
?,626,376,-250
bail,3,7,4
else,1492,806,-686
help,31,22,-9
var,57,24,-33
compile_object,1,3,2
error_exit,16,12,-4
cpu,479,194,-285
!,2521,1553,-968
ok,47,28,-19
ensures,15,12,-3
host,207,104,-103
also,144,71,-73
c,325,185,-140
exist,37,19,-18
linker,22,4,-18
\,500,297,-203
values,110,66,-44
1,2109,1267,-842
second,37,24,-13
tmp,90,68,-22
disasops,6,4,-2
cpu_env,85,50,-35
care,27,20,-7
negative,28,25,-3
get_field,11,9,-2
ssf,2,2,0
anything,33,24,-9
os,36,17,-19
env-,546,229,-317
fields,61,33,-28
time,117,69,-48
store,69,33,-36
defined,310,131,-179
could,163,106,-57
tcg_gen_qemu_ld64,2,2,0
uint64_t,486,324,-162
tcg_gen_addi_i64,5,1,-4
env,537,224,-313
exitstatus,7,6,-1
no_exit,7,4,-3
return,2522,1598,-924
get_address,3,1,-2
b2,3,2,-1
fake,15,6,-9
0,3095,2030,-1065
d2,6,2,-4
reset,103,49,-54
-,1069,679,-390
define,969,449,-520
timer,81,46,-35
tcg_temp_new_i64,20,4,-16
first,167,125,-42
tcgv_i64,28,6,-22
used,302,140,-162
endif,705,288,-417
config_user_only,102,40,-62
static,1922,984,-938
third,4,3,-1
qemu_clock_get_ns,17,12,-5
tcg_temp_free_i64,23,7,-16
operands,2,2,0
i64,21,11,-10
d1,9,2,-7
process,47,45,-2
n't,493,362,-131
extract,5,8,3
get,198,113,-85
load,64,41,-23
fetch,28,11,-17
in1,3,2,-1
*,4227,2634,-1593
qemu_clock_virtual,30,11,-19
regs,97,41,-56
tcg_gen_mov_i64,11,5,-6
b1,4,6,2
r3,17,7,-10
/,2970,1678,-1292
in2,10,2,-8
def_helper_flags_1,4,3,-1
tcg_call_no_rwg,5,4,-1
interrupt,91,59,-32
uint64_max,16,16,0
cputm,4,1,-3
disascontext,84,35,-49
modifying,3,2,-1
o-,13,4,-9
cpus390xstate,35,4,-31
s-,1046,801,-245
get_mem_index,6,4,-2
int,1955,1056,-899
addr1,18,11,-7
tcg_gen_sub_i64,2,2,0
helper,69,33,-36
operand,4,3,-1
len,313,216,-97
errp,507,355,-152
priu32,16,11,-5
error_setg,284,217,-67
length,163,90,-73
max,130,84,-46
%,1238,804,-434
larger,25,21,-4
nbd_max_buffer_size,6,3,-3
u,66,61,-5
-einval,157,140,-17
null,1312,930,-382
mcast,1,2,1
support,248,109,-139
cpus,77,36,-41
multiple,92,47,-45
dc-,126,80,-46
reason,37,42,5
serial_hds,13,7,-6
uses,67,39,-28
false,687,365,-322
board,14,10,-4
realize,34,19,-15
user_creatable,4,13,9
container_of,77,27,-50
monitor_disas_is_physical,1,1,0
myaddr,1,2,1
info,125,77,-48
cpu_physical_memory_read,12,7,-5
monitor_read_memory,1,1,0
memaddr,1,2,1
cpu_memory_rw_debug,4,6,2
bfd_byte,2,1,-1
is_physical,1,3,2
bfd_vma,1,1,0
struct,651,368,-283
config,97,42,-55
conf,15,6,-9
void,1799,897,-902
udev,3,1,-2
extern,85,31,-54
encoutput.offset,1,1,0
qio_channel_websock_max_buffer,1,2,1
rawoutput.offset,1,2,1
amount,16,9,-7
buffers,14,7,-7
allow,91,54,-37
wioc-,2,2,0
div_round_up,34,13,-21
cpu_to_dump32,1,2,1
vmcoreinfo,1,1,0
note_size,3,3,0
cpu_to_dump64,1,2,1
+,988,669,-319
name_size,5,6,1
4,559,297,-262
bs-,257,172,-85
backing,69,41,-28
bdrv_attach_child,1,1,0
bdrv_set_backing_hd,4,4,0
failed,184,192,8
must,334,190,-144
set,438,237,-201
zu,15,16,1
auth=,1,1,0
subauth,5,2,-3
s\n,142,75,-67
sasl.conn,1,2,1
negotiated,3,5,2
name=,3,5,2
sasl.username,1,1,0
query,15,7,-8
\n,281,155,-126
d\n,105,69,-36
init,76,35,-41
much,24,25,1
version,260,146,-114
access\n,3,1,-2
user,125,68,-57
large,45,54,9
name,490,281,-209
authentication,11,5,-6
ioc,14,25,11
bytes,178,144,-34
vnc,23,14,-9
trace.h,19,18,-1
include,737,302,-435
size_t,170,140,-30
connection,59,36,-23
state,257,129,-128
datalen,6,3,-3
subauth=,1,1,0
size=,5,6,1
nil,1,1,0
vencrypt,6,3,-3
vs,47,43,-4
method,42,12,-30
err,220,200,-20
username,7,5,-2
mechs,1,1,0
const,888,433,-455
sasl,6,2,-4
data,529,333,-196
reply,16,16,0
auth,17,4,-13
long,166,114,-52
p,210,136,-74
val,240,148,-92
vs-,61,42,-19
passed,44,24,-20
expect,19,15,-4
acl,6,5,-1
websock,1,1,0
denied,2,3,1
continue\n,1,3,2
